799	2000	0	30	000000082000000000010000000001	GW00001
804	2000	0	30	000000082000000000020000000001	GW00002
809	2000	0	30	000000082000000000030000000001	GW00003
819	2000	0	30	000000082000000000040000000001	GW00004
795	500	0	20	000000082000000000050000000001	GW00005
800	500	0	20	000000082000000000060000000001	GW00006
796	900	0	20	000000082000000000070000000001	GW00007
801	900	0	20	000000082000000000080000000001	GW00008
797	1400	0	25	000000082000000000090000000001	GW00009
802	1400	0	25	000000082000000000100000000001	GW00010
798	1800	0	30	000000082000000000110000000001	GW00011
803	1800	0	30	000000082000000000120000000001	GW00012
805	500	0	20	000000082000000000130000000001	GW00013
815	500	0	20	000000082000000000140000000001	GW00014
806	900	0	20	000000082000000000150000000001	GW00015
816	900	0	20	000000082000000000160000000001	GW00016
807	1400	0	25	000000082000000000170000000001	GW00017
817	1400	0	25	000000082000000000180000000001	GW00018
808	1800	0	30	000000082000000000190000000001	GW00019
818	1800	0	30	000000082000000000200000000001	GW00020
814	2300	0	60	000000082000000000210000000001	GW00021
824	2300	0	60	000000082000000000220000000001	GW00022
829	2300	0	60	000000082000000000230000000001	GW00023
834	2300	0	60	000000082000000000240000000001	GW00024
810	500	0	40	000000082000000000250000000001	GW00025
820	500	0	40	000000082000000000260000000001	GW00026
811	900	0	40	000000082000000000270000000001	GW00027
821	900	0	40	000000082000000000280000000001	GW00028
812	1400	0	50	000000082000000000290000000001	GW00029
822	1400	0	50	000000082000000000300000000001	GW00030
813	1800	0	60	000000082000000000310000000001	GW00031
823	1800	0	60	000000082000000000320000000001	GW00032
825	500	0	40	000000082000000000330000000001	GW00033
830	500	0	40	000000082000000000340000000001	GW00034
826	900	0	40	000000082000000000350000000001	GW00035
831	900	0	40	000000082000000000360000000001	GW00036
827	1400	0	50	000000082000000000370000000001	GW00037
832	1400	0	50	000000082000000000380000000001	GW00038
828	1800	0	60	000000082000000000390000000001	GW00039
833	1800	0	60	000000082000000000400000000001	GW00040
12966	4500	0	1	000000082000000000410000000001	GW00041
12766	2500	0	1	000000082000000000420000000001	GW00042
12818	900	604800	1	000000082000000000430000000001	GW00043
12768	2000	0	1	000000082000000000440000000001	GW00044
12815	1000	0	1	000000082000000000450000000001	GW00045
12812	1000	0	1	000000082000000000460000000001	GW00046
2100	500	0	10	000000082000000000480000000001	GW00048
3043	200	0	1	000000082000000000490000000001	GW00049
12361	500	0	1	000000082000000000500000000001	GW00050
12361	4500	0	10	000000082000000000510000000001	GW00051
9834	1600	0	1	000000082000000000530000000001	GW00053
12750	500	0	1	000000082000000000540000000001	GW00054
12762	1600	0	1	000000082000000000550000000001	GW00055
11208	2300	0	10	000000082000000000560000000001	GW00056
12751	500	0	1	000000082000000000570000000001	GW00057
12751	4500	0	10	000000082000000000580000000001	GW00058
11208	300	0	1	000000082000000000590000000001	GW00059
12750	4500	0	10	000000082000000000600000000001	GW00060
14351	1200	0	10	000000082000000000610000000001	GW00061
12763	5600	0	1	000000082000000000620000000001	GW00062
